NumberOfPlayers,DeadAgentVoted,DeadAgentAttacked,TeammateAttacked,IncorrectAction,WerewolfWins,VillagerWins,TotalTurns,TotalDays,TotalGames,GameTimeSeconds
35,56,21,1,269,0,1,35,17,1,1.475953
35,21,4,4,158,0,1,14,7,1,0.928972
35,36,4,1,260,0,1,29,14,1,1.309961
35,86,42,5,320,0,1,68,34,1,2.103934
35,103,44,1,316,1,0,77,38,1,2.229933
35,66,26,5,248,1,0,51,25,1,1.543955
35,66,10,4,253,0,1,40,20,1,1.558952
35,83,17,1,319,1,0,51,25,1,1.840944
35,69,14,2,251,1,0,39,19,1,1.488937
35,46,8,2,238,0,1,27,13,1,1.361962
35,48,16,4,284,0,1,30,15,1,1.55094
35,77,26,3,268,1,0,63,31,1,1.746942
35,97,31,2,302,1,0,67,33,1,2.07294
35,69,13,3,274,0,1,33,16,1,1.480973
